subconcept,polarity,text
suspense,high,"The doctor stepped back into the waiting room holding the test results, and for a long moment she just looked at me without saying a word."
suspense,high,"My phone buzzed at 2 a.m. with a number I didn't recognize, and my thumb hovered over the screen, not sure if I wanted to know."
suspense,high,"The footsteps on the stairs stopped right outside my door, and then the handle slowly began to turn."
suspense,high,"The hiring manager said they'd email by Friday, and now it's Friday at 4:59 and the inbox still says zero."
suspense,high,"The smoke alarm fell silent, but I couldn't tell if the smell of burning was getting weaker or worse as I crept toward the kitchen."
suspense,high,"She opened the envelope halfway, then froze, her eyes scanning the first line again and again before anyone dared to breathe."
suspense,high,"The plane dropped suddenly and the cabin lights flickered, and the captain's voice came on but cut out before he finished the sentence."
suspense,high,"I heard the car pull into the driveway twenty minutes early, and I had no idea yet whether he'd found out what I'd done."
suspense,high,"The referee raised the whistle to his lips with the score tied and one second left, and the entire stadium went dead quiet."
suspense,high,"The lab tech kept frowning at my sample, then picked up the phone and asked someone to come look, but wouldn't tell me anything."
suspense,high,"The lights went out across the whole street at once, and somewhere below us I heard a door I'd locked swing open."
suspense,high,"He set the dice in my hand and said everything we owned came down to this one roll, and I couldn't make myself let go."
suspense,low,"The results came back completely clear, the doctor smiled, and I drove home with the windows down humming to the radio."
suspense,low,"We finished packing the car, double-checked the list, and everything was exactly where it should be before we set off."
suspense,low,"The kettle clicked off, I poured my tea, and settled into the same chair I sit in every quiet Sunday morning."
suspense,low,"The job offer arrived right on time, I signed it, and now I simply wait for my familiar Monday start."
suspense,low,"Dinner was already in the oven, the table was set, and the kids were happily doing homework at their usual spots."
suspense,low,"The plane landed smoothly, the seatbelt sign turned off, and we strolled to baggage claim with plenty of time to spare."
suspense,low,"I checked the locks, turned off the lights, and climbed into bed knowing the house was warm and safe for the night."
suspense,low,"The mechanic showed me the finished repair, everything was in order, and the car ran perfectly all the way home."
suspense,low,"The meeting ended on schedule, every question was answered, and we all agreed there was nothing left to decide."
suspense,low,"The garden was watered, the chores were done, and I sat on the porch watching the same calm sunset I always do."
suspense,low,"She read the final page, closed the book with a contented sigh, and placed it neatly back on the shelf."
suspense,low,"The bill was paid in full, the receipt filed away, and our finances for the month were tidy and settled."
suspense,low,"The recipe turned out just like every other time, dinner was ready by six, and we ate together as usual."
pathos_grief,high,"I still set two cups of coffee out of habit, and every morning the second one goes cold while I sit there missing her."
pathos_grief,high,"They handed me his folded jersey after the funeral, and I have not been able to put it down since."
pathos_grief,high,The house is so quiet without the dog's footsteps that I cry every time I walk past his empty bed.
pathos_grief,high,I keep my phone off because I cannot bear to see the last text she ever sent me.
pathos_grief,high,"My grandmother's chair is still by the window, and the ache of knowing she will never sit there again is unbearable."
pathos_grief,high,"At the hospital they told us there was nothing more to do, and I held my father's hand as the world went silent."
pathos_grief,high,I found her handwriting on an old grocery list and broke down sobbing in the middle of the kitchen.
pathos_grief,high,"Every birthday now is just another year he is gone, and I light a candle and weep alone."
pathos_grief,high,"The nursery is finished and painted, but we will never bring our baby home, and the silence shatters me."
pathos_grief,high,I drove past our old school today and the grief of losing my best friend hit me so hard I had to pull over.
pathos_grief,high,"His side of the bed is still untouched, and each night I lie there hollowed out by sorrow."
pathos_grief,high,They lowered the casket and I felt something in my chest break that I do not think will ever heal.
pathos_grief,low,"I made coffee for two this morning and we sat on the porch laughing about nothing, perfectly happy."
pathos_grief,low,"The dog curled up at my feet by the fire, and I felt so content I could have stayed there all night."
pathos_grief,low,My grandmother told her favorite story again at dinner and the whole table glowed with warmth and joy.
pathos_grief,low,"We painted the nursery together this weekend, giddy with excitement to welcome our little one home."
pathos_grief,low,I got a sweet good-morning text from her and grinned at my phone like a kid the whole walk to work.
pathos_grief,low,"Dad and I fixed the fence today, swapping bad jokes, and I felt grateful for such an ordinary good day."
pathos_grief,low,"I drove past our old school and smiled the whole way, remembering all the fun my best friend and I had there."
pathos_grief,low,"His birthday party was full of cake and laughter, and I went to bed cheerful and thankful for him."
pathos_grief,low,"I found her old grocery list tucked in a book and chuckled at her terrible handwriting, feeling cozy and at peace."
pathos_grief,low,"We snuggled into the same side of the bed watching a silly movie, and I drifted off feeling utterly content."
pathos_grief,low,"The kids ran around the backyard all afternoon, and I sat in the sun with a lemonade, happy as could be."
pathos_grief,low,"Grandma's chair by the window is the best spot in the house, and we took turns reading there and giggling all day."
spectacle,high,"He proposed at the halftime show, dropping to one knee under a roaring spotlight while the jumbotron blasted her name and forty thousand fans screamed."
spectacle,high,"The new neighbor threw a block party with a marching band, fireworks, and a megaphone, parading down the street in a sequined cape so everyone would watch."
spectacle,high,"To announce the bake sale, she rented a stage, hired a drumline, and shouted into a microphone while confetti cannons fired over the crowd."
spectacle,high,"He quit his job by storming into the open office, flinging his badge, and giving a booming farewell speech as coworkers filmed on their phones."
spectacle,high,"For the gender reveal, they hired a stunt plane to trail pink smoke over the stadium while loudspeakers counted down to a thunderous pyrotechnic blast."
spectacle,high,"She returned the sweater by marching to the front of the store, holding it overhead, and loudly demanding a refund as a growing crowd gathered to gawk."
spectacle,high,"The restaurant brought the birthday cake out with sparklers blazing, a brass band trumpeting, and every waiter singing at full volume to the whole dining room."
spectacle,high,"He won the chess match and leapt onto the table, pumping his fists and bellowing a victory chant while the auditorium erupted in cheers."
spectacle,high,"The teacher revealed the grades on a giant projector with a fanfare soundtrack, spotlights swinging across the gym, and an emcee hyping the crowd."
spectacle,high,"To say sorry, he hired a mariachi band and stood beneath her window with a glowing neon sign, serenading her as half the block leaned out to watch."
spectacle,high,"She unveiled the company logo at a packed arena with laser shows, a fog machine, and a thumping bass drop as the audience roared on cue."
spectacle,high,The graduate crossed the stage doing backflips and waving a flaming torch while the band blared and the bleachers thundered with applause.
spectacle,low,He slid the worn paperback across the table without a word and went back to his tea.
spectacle,low,"She left the small bonus in an envelope on his desk, no note, and quietly returned to her work."
spectacle,low,"They marked their anniversary by sharing a cup of coffee on the back porch, saying little, watching the morning fog."
spectacle,low,"He told her he'd gotten the promotion in a low voice over the sink, then kept washing the dishes."
spectacle,low,"She apologized in a brief, soft message and let the matter rest without another mention."
spectacle,low,"He proposed in the kitchen at dawn, just the two of them, sliding the ring across the counter with a quiet smile."
spectacle,low,"The teacher handed back each paper face-down with a small nod, saying nothing about the marks."
spectacle,low,"She returned the sweater by mailing it back with a polite slip, asking only for a quiet exchange."
spectacle,low,"He resigned by leaving a short, measured letter on his manager's chair and walking out before anyone arrived."
spectacle,low,"For his birthday she set a single candle in a muffin, and they ate it in the kitchen without a song."
spectacle,low,"After winning the match, he simply shook his opponent's hand, murmured thanks, and packed up the board."
spectacle,low,"They told their families the baby news in a hushed phone call, sharing the moment privately before bed."
stakes,high,"If the biopsy comes back positive tomorrow, everything about the next decade of my life changes overnight."
stakes,high,One wrong word in this deposition and I lose custody of my children for good.
stakes,high,"The brakes failed on the highway, and the next three seconds would decide whether we lived or died."
stakes,high,"If I miss this mortgage payment, the bank takes the house my family has lived in for forty years."
stakes,high,The surgeon said a single millimeter either way could leave him paralyzed for the rest of his life.
stakes,high,"This interview is my last shot at the visa; if I fail, I'm deported and may never see my family again."
stakes,high,"The reactor readings are climbing, and if we can't vent it in five minutes the whole city is in danger."
stakes,high,"She has to decide tonight whether to accept the transplant, knowing a wrong choice could cost her her life."
stakes,high,"If the jury believes the witness, an innocent man spends the next thirty years behind bars."
stakes,high,"The wildfire jumped the ridge, and we have minutes to evacuate before it reaches the homes below."
stakes,high,"One failed exam and my scholarship is revoked, ending the only path I had out of poverty."
stakes,high,"The pilot lost an engine over the ocean, and every passenger's survival now rests on his next decision."
stakes,low,"I couldn't decide whether to use the blue pen or the black one, so I just grabbed whichever was closer."
